162,439
162,440
162,440
160,442
160,442
159,443
159,444
158,445
158,446
157,447
156,448
156,449
155,450
154,452
153,453
153,453
152,455
151,455
151,456
150,457
149,459
148,460
147,462
147,462
147,462
145,465
144,465
144,466
143,468
143,468
142,469
141,470
140,471
140,472
139,473
139,473
138,475
137,476
136,477
134,480
133,480
133,481
132,482
131,483
131,484
130,485
130,486
128,487
128,488
126,490
125,491
124,492
124,493
123,493
123,494
122,495
122,495
121,496
118,500
118,501
117,501
116,502
115,504
114,504
114,505
113,506
112,507
111,508
110,509
109,510
108,512
107,513
106,514
106,514
104,516
104,516
102,518
102,518
100,521
99,521
99,521
99,521
99,521
93,528
93,528
93,528
93,528
93,528
90,531
90,531
88,533
88,533
87,535
87,535
85,536
85,536
84,537
83,538
83,538
82,539
81,540
80,541
80,541
80,542
79,542
78,543
77,544
77,544
76,545
75,546
75,546
74,547
74,547
71,549
71,550
70,550
69,552
67,553
66,554
65,555
65,555
64,556
64,556
63,556
63,557
62,558
61,558
61,559
60,559
59,560
59,560
55,563
55,563
54,564
53,565
53,565
52,565
52,566
51,566
50,567
50,567
49,568
49,568
47,569
47,569
47,569
47,570
46,570
46,570
44,571
44,571
43,572
42,572
42,573
41,573
40,574
38,575
38,576
37,576
36,576
36,577
35,577
34,578
33,578
33,578
31,579
31,579
31,579
31,579
31,579
31,580
30,580
30,580
30,580
30,580
30,580
30,580
28,581
27,581
26,582
26,582
25,582
24,583
24,583
23,583
23,583
22,584
22,584
21,584
20,584
19,585
19,585
19,585
19,585
18,585
18,585
18,585
18,585
17,586
16,586
15,586
14,586
12,587
12,587
11,587
10,587
10,587
9,588
9,588
8,588
8,588
7,588
7,588
6,588
5,588
5,588
4,588
2,588
0,588
0,588
0,436
162,436
162,439
