171,425
170,426
167,431
167,432
166,433
165,434
165,435
164,436
164,437
160,443
159,444
157,447
156,449
155,449
154,452
152,455
151,456
150,457
149,459
147,461
147,462
147,462
144,466
144,466
144,466
144,467
142,469
142,469
141,470
141,471
140,472
139,473
138,474
137,475
137,476
136,477
135,478
133,481
132,482
132,483
130,485
129,486
128,487
128,488
123,493
122,495
121,496
118,500
117,501
116,502
112,507
112,507
111,508
110,509
109,510
108,512
107,513
107,513
105,515
104,516
103,517
103,518
102,518
102,519
100,520
99,522
99,522
97,524
96,525
96,525
95,526
94,527
93,528
92,529
91,530
90,531
89,532
88,533
88,533
86,535
85,537
85,537
83,539
82,539
82,539
73,548
73,548
73,548
71,550
71,550
69,552
68,553
66,554
65,555
64,556
63,556
62,557
62,558
61,558
59,560
58,561
56,562
56,563
55,563
55,564
54,564
50,567
49,568
48,569
47,569
47,569
46,570
46,570
46,570
45,571
44,571
44,572
43,572
42,572
41,573
40,574
40,574
39,574
39,575
39,575
38,575
38,575
38,575
36,576
34,578
34,578
33,578
33,578
32,579
31,579
30,580
29,580
28,581
24,583
24,583
23,583
22,584
20,584
20,584
20,585
19,585
18,585
17,586
17,586
16,586
16,586
16,586
16,586
14,586
13,587
12,587
12,587
12,587
11,587
11,587
10,587
8,588
7,588
6,588
5,588
4,588
3,588
2,588
0,588
0,425
171,425
171,425
